"Date","Open","High","Low","Close","Volume","Adj.Close"
"2014-01-17",1156.85,1160.63,1144.2,1150.53,2701300,1150.53
"2014-01-16",1149.1,1157.93,1148,1156.22,1683900,1156.22
"2014-01-15",1152.99,1155,1143.79,1148.62,1950200,1148.62
"2014-01-14",1137.95,1151,1128.09,1149.4,2482600,1149.4
"2014-01-13",1126.47,1146.91,1117.17,1122.98,2418900,1122.98
"2014-01-10",1139.08,1139.08,1122.25,1130.18,2143500,1130.18
