Date,Open,High,Low,Close,Volume,Adj Close
2014-01-17,1156.85,1160.63,1144.20,1150.53,2701300,1150.53
2014-01-16,1149.10,1157.93,1148.00,1156.22,1683900,1156.22
2014-01-15,1152.99,1155.00,1143.79,1148.62,1950200,1148.62
2014-01-14,1137.95,1151.00,1128.09,1149.40,2482600,1149.40
2014-01-13,1126.47,1146.91,1117.17,1122.98,2418900,1122.98
2014-01-10,1139.08,1139.08,1122.25,1130.18,2143500,1130.18
2014-01-09,1143.44,1144.22,1125.56,1130.24,2084500,1130.24
2014-01-08,1146.00,1147.32,1133.29,1141.23,2242500,1141.23
2014-01-07,1125.00,1139.69,1121.16,1138.86,2552600,1138.86
2014-01-06,1113.01,1118.86,1106.44,1117.32,1769300,1117.32
2014-01-03,1115.00,1116.93,1104.93,1105.00,1666700,1105.00
2014-01-02,1115.46,1117.75,1108.26,1113.12,1821400,1113.12
2013-12-31,1112.24,1121.00,1106.26,1120.71,1357900,1120.71
2013-12-30,1120.34,1120.50,1109.02,1109.46,1236100,1109.46
2013-12-27,1120.00,1120.28,1112.94,1118.40,1569700,1118.40
2013-12-26,1114.01,1119.00,1108.69,1117.46,1337800,1117.46
2013-12-24,1114.97,1115.24,1108.10,1111.84,734200,1111.84
2013-12-23,1107.84,1115.80,1105.12,1115.10,1721600,1115.10
2013-12-20,1088.30,1101.17,1088.00,1100.62,3261600,1100.62
2013-12-19,1080.77,1091.99,1079.08,1086.22,1665700,1086.22
2013-12-18,1071.85,1084.95,1059.04,1084.75,2210300,1084.75
2013-12-17,1072.82,1080.76,1068.38,1069.86,1535700,1069.86
2013-12-16,1064.00,1074.69,1062.01,1072.98,1602000,1072.98
2013-12-13,1075.40,1076.29,1057.89,1060.79,2162400,1060.79
2013-12-12,1079.57,1082.94,1069.00,1069.96,1595900,1069.96
2013-12-11,1087.40,1091.32,1075.17,1077.29,1695800,1077.29
2013-12-10,1076.15,1092.31,1075.65,1084.66,1853900,1084.66
2013-12-09,1070.99,1082.31,1068.02,1078.14,1482600,1078.14
2013-12-06,1069.79,1070.00,1060.08,1069.87,1428800,1069.87
2013-12-05,1057.20,1059.66,1051.09,1057.34,1133700,1057.34
2013-12-04,1051.37,1063.98,1050.00,1058.18,1191600,1058.18
2013-12-03,1050.95,1063.44,1049.02,1053.26,1676100,1053.26
2013-12-02,1063.51,1066.35,1050.76,1054.48,1373200,1054.48
2013-11-29,1062.16,1066.62,1059.45,1059.59,1192800,1059.59
2013-11-27,1062.03,1068.00,1060.00,1063.11,1122600,1063.11
2013-11-26,1048.60,1061.50,1042.94,1058.41,2286300,1058.41
2013-11-25,1037.16,1053.19,1035.02,1045.93,1613000,1045.93
2013-11-22,1033.42,1036.17,1029.22,1031.89,1254200,1031.89
2013-11-21,1027.00,1038.31,1026.00,1034.07,1091800,1034.07
2013-11-20,1029.95,1033.36,1020.36,1022.31,963700,1022.31
2013-11-19,1031.72,1034.75,1023.05,1025.20,1116400,1025.20
2013-11-18,1035.75,1048.74,1029.24,1031.55,1759700,1031.55
2013-11-15,1034.87,1038.00,1030.31,1033.56,1276300,1033.56
2013-11-14,1033.92,1039.75,1030.35,1035.23,1166700,1035.23
2013-11-13,1006.75,1032.85,1006.50,1032.47,1579400,1032.47
2013-11-12,1007.70,1017.56,1005.00,1011.78,1218100,1011.78
2013-11-11,1009.51,1015.93,1008.00,1010.59,1112600,1010.59
2013-11-08,1008.75,1018.50,1008.50,1016.03,1290800,1016.03
2013-11-07,1022.61,1023.93,1007.64,1007.95,1679600,1007.95
2013-11-06,1025.60,1027.00,1015.37,1022.75,912900,1022.75
2013-11-05,1020.35,1031.65,1017.42,1021.52,1181400,1021.52
2013-11-04,1031.50,1032.37,1022.03,1026.11,1138800,1026.11
2013-11-01,1031.79,1036.00,1025.10,1027.04,1283300,1027.04
2013-10-31,1028.93,1041.52,1023.97,1030.58,1616400,1030.58
2013-10-30,1037.43,1037.51,1026.00,1030.42,1324100,1030.42
2013-10-29,1019.10,1036.94,1013.50,1036.24,1605000,1036.24
2013-10-28,1015.20,1023.43,1012.99,1015.00,1158700,1015.00
2013-10-25,1028.82,1028.82,1010.74,1015.20,2030500,1015.20
2013-10-24,1031.87,1040.57,1024.80,1025.55,2092100,1025.55
2013-10-23,1001.00,1034.75,1000.63,1031.41,2663200,1031.41
2013-10-22,1005.00,1013.00,995.79,1007.00,2208600,1007.00
2013-10-21,1011.46,1019.00,999.55,1003.30,3628300,1003.30
2013-10-18,976.58,1015.46,974.00,1011.41,11566400,1011.41
2013-10-17,892.99,896.90,885.73,888.79,4256600,888.79
2013-10-16,885.87,898.33,884.01,898.03,2007600,898.03
2013-10-15,875.76,885.63,874.00,882.01,1591900,882.01
2013-10-14,866.66,876.25,865.39,876.11,1243600,876.11
2013-10-11,866.03,873.48,865.30,871.99,1408900,871.99
2013-10-10,863.84,868.83,860.21,868.24,2255300,868.24
2013-10-09,856.28,862.65,842.98,855.86,2651300,855.86
2013-10-08,865.32,865.98,851.63,853.67,1943700,853.67
2013-10-07,867.45,873.99,864.11,865.74,1293600,865.74
2013-10-04,875.00,877.51,870.00,872.35,1358000,872.35
2013-10-03,888.00,894.10,872.10,876.09,2117000,876.09
2013-10-02,882.73,889.36,877.82,887.99,1495300,887.99
2013-10-01,880.25,887.67,880.05,887.00,1684800,887.00
2013-09-30,869.08,880.84,868.31,875.91,1722400,875.91
2013-09-27,874.82,877.52,871.31,876.39,1258800,876.39
2013-09-26,878.30,882.75,875.00,878.17,1259900,878.17
2013-09-25,886.55,886.55,875.60,877.23,1649000,877.23
2013-09-24,886.50,890.10,881.40,886.84,1486800,886.84
2013-09-23,896.15,901.59,885.20,886.50,1777400,886.50
2013-09-20,898.39,904.13,895.62,903.11,4345300,903.11
2013-09-19,905.99,905.99,895.40,898.39,1597900,898.39
2013-09-18,886.35,903.97,883.07,903.32,1934700,903.32
2013-09-17,887.41,888.39,881.00,886.11,1259400,886.11
2013-09-16,896.20,897.00,884.87,887.76,1336500,887.76
2013-09-13,894.50,895.68,884.84,889.07,1325400,889.07
2013-09-12,897.40,897.90,890.01,893.06,1095500,893.06
2013-09-11,888.54,896.97,886.08,896.19,1610600,896.19
2013-09-10,890.02,892.00,884.00,888.67,1287600,888.67
2013-09-09,883.73,889.75,882.42,888.05,1234600,888.05
2013-09-06,882.44,883.78,873.74,879.58,1561600,879.58
2013-09-05,873.50,879.88,871.61,879.56,1291300,879.56
2013-09-04,860.35,873.50,855.17,871.63,2041200,871.63
2013-09-03,854.36,866.19,853.95,860.38,2047600,860.38
2013-08-30,855.76,858.04,845.56,846.90,1861600,846.90
2013-08-29,849.07,860.38,848.59,855.43,1478500,855.43
2013-08-28,850.25,855.41,847.77,848.55,1329900,848.55
2013-08-27,859.62,863.73,847.90,850.15,1734100,850.15
2013-08-26,870.00,874.90,866.05,866.39,1052500,866.39
2013-08-23,877.83,878.00,869.75,870.21,1077100,870.21
2013-08-22,872.70,874.75,870.25,873.71,869900,873.71
2013-08-21,870.65,876.91,866.50,869.33,1757300,869.33
2013-08-20,868.35,872.11,863.54,865.42,1233000,865.42
2013-08-19,857.71,872.00,857.45,865.65,1810900,865.65
2013-08-16,861.28,862.44,856.54,856.91,1675100,856.91
2013-08-15,864.44,864.92,858.00,859.66,1869200,859.66
2013-08-14,878.37,880.23,867.16,869.81,2082200,869.81
2013-08-13,886.83,888.50,876.20,881.25,1419800,881.25
2013-08-12,886.90,887.00,881.65,885.51,1377000,885.51
2013-08-09,890.56,895.52,890.00,890.41,1323700,890.41
2013-08-08,895.49,895.84,885.29,892.66,1488000,892.66
2013-08-07,895.04,898.45,889.09,890.65,1379200,890.65
2013-08-06,904.69,909.71,895.73,896.57,1506100,896.57
2013-08-05,905.39,905.52,899.20,905.00,1309700,905.00
2013-08-02,903.44,907.00,900.82,906.57,1713900,906.57
2013-08-01,895.00,904.55,895.00,904.22,2138400,904.22
2013-07-31,892.99,896.51,886.18,887.75,2173500,887.75
2013-07-30,885.46,895.61,880.87,890.92,1755600,890.92
2013-07-29,884.90,894.82,880.89,882.27,1891900,882.27
2013-07-26,886.99,889.99,882.00,885.35,1777700,885.35
2013-07-25,893.87,896.85,886.08,887.70,3001100,887.70
2013-07-24,907.26,910.30,900.70,902.90,2078500,902.90
2013-07-23,910.70,913.00,899.57,903.80,2045700,903.80
2013-07-22,902.00,912.67,897.00,910.70,2903200,910.70
2013-07-19,886.61,902.95,875.61,896.60,7359300,896.60
2013-07-18,918.99,920.00,903.19,910.68,3634500,910.68
2013-07-17,921.00,926.86,916.30,918.55,1506100,918.55
2013-07-16,927.13,927.97,913.90,919.61,1983000,919.61
2013-07-15,924.30,928.00,916.36,924.69,1960500,924.69
2013-07-12,920.00,923.00,915.24,923.00,2568200,923.00
2013-07-11,913.00,920.81,908.52,920.24,2584200,920.24
2013-07-10,903.45,911.14,900.38,905.99,1708400,905.99
2013-07-09,911.00,912.95,897.98,905.24,1979400,905.24
2013-07-08,899.21,906.27,897.08,905.09,1969500,905.09
2013-07-05,890.01,895.41,887.34,893.49,1701900,893.49
2013-07-03,879.90,889.17,878.50,886.43,1047000,886.43
2013-07-02,890.20,891.00,877.27,882.31,1891500,882.31
2013-07-01,886.45,892.08,885.00,887.88,1724800,887.88
2013-06-28,874.90,881.84,874.19,880.37,2349300,880.37
2013-06-27,878.80,884.69,876.65,877.07,1926500,877.07
2013-06-26,873.75,878.00,870.57,873.65,1831400,873.65
2013-06-25,877.26,879.68,864.51,866.20,2553200,866.20
2013-06-24,871.88,876.32,863.25,869.79,3016900,869.79
2013-06-21,888.34,889.88,873.07,880.93,3982300,880.93
2013-06-20,893.99,901.00,883.31,884.74,3372000,884.74
2013-06-19,901.37,910.84,897.50,900.68,2915900,900.68
2013-06-18,888.65,901.00,888.35,900.62,2166900,900.62
2013-06-17,879.23,889.43,878.28,886.25,2146300,886.25
2013-06-14,880.10,884.70,874.13,875.04,2245000,875.04
2013-06-13,868.98,879.66,865.50,877.00,2069900,877.00
2013-06-12,885.46,886.00,869.65,871.98,2204800,871.98
2013-06-11,883.97,887.00,879.52,879.81,1757600,879.81
2013-06-10,882.10,891.00,880.09,890.22,2337800,890.22
2013-06-07,870.42,880.00,865.32,879.73,2674600,879.73
2013-06-06,864.30,866.33,847.22,864.64,2579100,864.64
2013-06-05,862.51,869.45,857.13,859.70,2106800,859.70
2013-06-04,867.85,870.59,854.07,859.10,1868600,859.10
2013-06-03,873.00,873.97,855.02,867.63,2475700,867.63
2013-05-31,868.12,877.00,867.52,871.22,1969400,871.22
2013-05-30,869.92,878.90,866.41,870.76,2120700,870.76
2013-05-29,875.71,877.99,864.29,868.31,2013400,868.31
2013-05-28,883.50,892.14,880.40,881.27,2257500,881.27
2013-05-24,875.26,878.82,871.01,873.32,2296800,873.32
2013-05-23,877.00,889.96,874.00,882.79,2275100,882.79
2013-05-22,902.56,909.31,886.88,889.42,2560600,889.42
2013-05-21,908.02,911.66,897.61,906.97,1983000,906.97
2013-05-20,905.00,920.60,905.00,908.53,2272700,908.53
2013-05-17,910.02,913.49,900.52,909.18,2792000,909.18
2013-05-16,919.00,919.98,902.01,903.87,3209600,903.87
2013-05-15,895.50,916.38,894.02,915.89,3985900,915.89
2013-05-14,877.50,888.69,877.14,887.10,1579300,887.10
2013-05-13,878.89,882.47,873.38,877.53,1448500,877.53
2013-05-10,875.31,880.54,872.16,880.23,1897700,880.23
2013-05-09,870.84,879.66,868.23,871.48,2200600,871.48
2013-05-08,857.00,873.88,852.91,873.63,2468300,873.63
2013-05-07,863.01,863.87,850.67,857.23,1959000,857.23
2013-05-06,848.26,861.85,848.26,861.55,2141300,861.55
2013-05-03,836.96,846.80,836.00,845.72,2512600,845.72
2013-05-02,820.10,834.55,819.05,829.61,2018300,829.61
2013-05-01,823.26,824.72,816.36,820.43,1455000,820.43
2013-04-30,819.00,827.64,817.68,824.57,2306700,824.57
2013-04-29,803.25,822.70,803.00,819.06,2300800,819.06
2013-04-26,807.60,807.74,796.58,801.42,2487700,801.42
2013-04-25,816.25,816.47,807.63,809.10,1992200,809.10
2013-04-24,808.11,818.00,808.00,813.45,1829100,813.45
2013-04-23,801.00,815.50,800.36,807.90,2292300,807.90
2013-04-22,800.60,803.96,775.00,800.11,2883400,800.11
2013-04-19,769.16,803.44,766.26,799.87,5803200,799.87
2013-04-18,785.35,785.80,761.26,765.91,3322500,765.91
2013-04-17,786.75,790.84,778.10,782.56,2037000,782.56
2013-04-16,786.59,796.00,783.92,793.37,1742000,793.37
2013-04-15,785.95,797.00,777.02,781.93,2453100,781.93
2013-04-12,791.99,792.10,782.93,790.05,1636700,790.05
